,City,Lat,Lng,Country,Temp,Humidity,Cloudiness,Wind,Altitude (m)
0,Barrow,71.2906,-156.7887,US,-22.0,71,1,7.2,3.04800009727478
1,Palmer,42.1584,-72.3287,US,10.0,32,20,2.57,105.5235977172852
2,Laramie,41.3114,-105.5911,US,-1.0,80,90,2.57,2184.66650390625
3,Jamestown,42.097,-79.2353,US,12.0,16,1,3.04,419.8653869628906
4,Saint Paul Harbor,57.79,-152.4072,US,6.0,56,1,5.66,14.06569766998291
5,Willmar,45.1219,-95.0433,US,8.0,76,1,5.14,349.5888366699219
6,Mitchell,43.7094,-98.0298,US,9.0,57,1,3.6,399.9039306640625
7,Kapaa,22.0752,-159.319,US,24.0,64,1,8.75,5.699976921081543
8,Bethel,41.3712,-73.414,US,8.0,42,1,0.88,115.9430923461914
9,Nantucket,41.2835,-70.0995,US,4.44,100,1,2.57,5.476116180419922
10,Albany,42.6001,-73.9662,US,7.78,31,0,0.94,222.8462219238281
11,La Crosse,43.8014,-91.2396,US,16.0,39,1,5.66,203.6095123291016
12,Hilo,19.7297,-155.09,US,25.0,61,90,7.2,19.04518890380859
13,Broome,42.2506,-75.833,US,11.0,19,1,2.06,289.4069213867188
14,Coos Bay,43.3665,-124.2179,US,9.0,66,90,4.63,4.138150215148926
15,Pacific Grove,36.6177,-121.9166,US,12.22,83,0,2.68,47.42416381835938
16,Golden,39.7555,-105.2211,US,1.11,91,100,1.34,1729.305419921875
17,Saint Anthony,45.0205,-93.21799999999999,US,15.0,54,90,3.6,280.892333984375
18,Avera,33.194,-82.5271,US,15.0,63,90,2.57,137.9201202392578
19,Saint George,37.1041,-113.5841,US,13.0,18,20,6.69,821.9684448242188
20,Makakilo City,21.3469,-158.0858,US,27.0,41,20,7.72,130.6714324951172
21,Sitka,57.0531,-135.33,US,5.0,87,90,6.69,8.463555335998535
22,Laguna,38.421,-121.4238,US,19.44,19,1,4.12,9.368178367614746
23,Payson,40.0444,-111.7321,US,3.0,60,75,7.2,1420.059936523438
24,Kenai,60.5544,-151.2583,US,-2.0,33,1,3.09,26.11971092224121
25,Nome,64.5011,-165.4064,US,-7.78,73,90,2.06,11.17263507843018
26,Stillwater,36.1156,-97.0584,US,18.0,39,1,7.72,273.3927307128906
27,Mayo,38.8876,-76.5119,US,9.44,49,1,2.06,3.946774005889893
28,Kahului,20.8947,-156.47,US,26.0,53,40,13.38,-2.071890354156494
29,Elmira,42.0898,-76.8077,US,4.0,48,1,1.46,261.7170715332031
30,Fortuna,40.5982,-124.1573,US,10.0,71,40,6.17,21.67096710205078
31,Rome,43.2128,-75.4557,US,3.33,52,1,2.41,137.2578887939453
32,Ozark,37.0209,-93.206,US,15.0,29,40,5.14,356.5668029785156
33,Hamilton,39.1834,-84.5333,US,13.0,50,1,2.33,207.2953643798828
34,Amberley,39.2048,-84.428,US,12.22,50,1,2.6,244.9996795654297
35,Russell,32.3502,-85.1999,US,17.0,55,90,2.94,148.767578125
36,Altoona,40.5187,-78.3947,US,6.0,39,1,2.57,354.5522155761719
37,Madera,37.1666,-119.8343,US,18.0,36,1,2.57,241.4327850341797
38,Clarksburg,39.2807,-80.3445,US,14.0,17,1,3.6,303.1678161621094
39,Lexington,37.9887,-84.4777,US,12.0,54,1,2.57,298.1593627929688
40,Ketchikan,55.3422,-131.6461,US,4.0,100,90,5.14,6.0755615234375
41,Eureka,40.8021,-124.1637,US,10.56,63,100,4.02,14.11656093597412
42,Portland,45.5234,-122.6762,US,8.0,76,90,4.12,9.992050170898438
43,‘Āhuimanu,21.4447,-157.8378,US,26.0,57,75,8.23,25.37753105163574
44,Fairbanks,64.8378,-147.7164,US,-5.0,33,1,0.51,135.6196441650391
45,College,64.8569,-147.8028,US,-5.0,33,1,0.44,133.3073272705078
46,Lincoln,40.8,-96.667,US,16.0,48,90,3.6,366.3533935546875
47,Bourbonnais,41.1417,-87.875,US,10.56,57,1,2.06,197.0927886962891
48,Virginia,37.5481,-77.4467,US,10.0,40,1,3.6,53.85951995849609
49,Lompoc,34.6391,-120.4579,US,13.0,67,1,7.2,31.59502601623535
50,Bellefontaine,40.3612,-83.7597,US,11.11,64,6,0.89,378.9209899902344
51,New Iberia,30.0035,-91.8187,US,17.0,63,40,1.54,5.348089218139648
52,Bud,39.446999999999996,-86.1758,US,10.0,44,96,3.34,253.126953125
53,North Bend,43.4065,-124.2243,US,9.0,66,90,4.63,13.1703987121582
54,Lahaina,20.8783,-156.6825,US,26.0,53,40,13.38,0.689998984336853
55,Catalina Foothills,32.2979,-110.9187,US,22.22,10,6,3.58,785.0540161132812
56,Westport,41.1415,-73.3579,US,7.78,75,1,1.54,4.839327812194824
57,San Patricio,28.017,-97.5169,US,19.0,63,75,7.72,15.67586612701416
58,Austin,30.2672,-97.7431,US,21.0,37,1,4.63,149.1038665771484
59,Abilene,32.4487,-99.7331,US,21.0,40,1,5.66,521.3797607421875
60,Jerome,42.7241,-114.5186,US,7.0,36,1,5.66,1147.367553710938
61,Houma,29.5958,-90.7195,US,14.44,82,1,2.06,2.717984199523926
62,Socorro,31.6546,-106.3033,US,23.0,17,75,8.23,1115.717895507812
63,Forestville,38.8451,-76.875,US,11.11,46,1,2.06,84.92774963378906
64,Rincon,32.296,-81.2354,US,13.0,88,75,2.57,21.94049835205078
65,Valdosta,30.8327,-83.2785,US,14.44,82,20,5.66,68.72459411621094
66,Wahpeton,46.2652,-96.6059,US,4.0,93,40,3.09,293.8888244628906
67,Wasilla,61.5814,-149.4394,US,-2.0,31,1,1.54,101.2412796020508
68,Green River,41.5286,-109.4662,US,-2.22,86,90,4.63,1861.59912109375
69,Burley,42.5357,-113.7928,US,4.0,45,1,3.09,1268.080688476562
70,Monticello,45.3055,-93.7941,US,13.33,62,90,5.45,282.6869506835938
71,‘Ewa Beach,21.3156,-158.0072,US,26.0,44,1,6.17,2.948389768600464
72,Marion,39.7684,-86.1555,US,13.0,30,1,1.54,217.6376953125
73,El Reno,35.5323,-97.955,US,15.56,62,1,5.66,413.0096130371094
74,Flagstaff,35.1981,-111.6513,US,6.67,24,20,5.14,2104.366943359375
75,Hope,33.6671,-93.5916,US,12.78,57,12,3.14,108.8161239624023
76,Pendleton,45.6721,-118.7886,US,7.22,53,90,7.72,325.8826293945312
77,Havelock,34.8791,-76.9013,US,12.22,81,100,3.58,7.346436977386475
78,Springfield,37.2153,-93.2982,US,14.0,28,1,7.2,397.1144409179688
79,Los Lunas,34.8062,-106.7334,US,17.0,9,40,5.66,1479.481079101562
80,Murray,40.6669,-111.88799999999999,US,3.0,86,1,1.82,1311.7890625
81,Southbridge,42.0751,-72.0334,US,6.67,45,0,1.81,149.4188690185547
82,Martin,27.0837,-80.4164,US,18.89,67,1,2.06,8.589580535888672
83,Lamar,33.6668,-95.5836,US,15.0,62,1,4.12,173.957275390625
84,Brandon,27.9378,-82.2859,US,15.0,82,90,2.06,14.62283802032471
85,San Francisco,37.7749,-122.4194,US,14.44,66,20,10.8,15.56675434112549
86,Lebanon,36.2081,-86.2911,US,12.0,71,1,1.95,160.7153472900391
87,Harrisonburg,38.4496,-78.8689,US,6.11,56,1,0.72,404.8709716796875
88,Brownsville,25.9018,-97.4975,US,20.0,72,1,3.6,10.64211750030518
89,Eloy,32.7559,-111.5548,US,20.56,9,1,3.09,473.2977600097656
90,San Ramon,37.7799,-121.978,US,16.67,47,1,4.12,150.0061340332031
91,Sterling,39.0062,-77.4286,US,8.89,49,1,1.86,89.6042709350586
92,Scottsbluff,41.8666,-103.6672,US,5.0,60,1,1.54,1185.10302734375
93,Half Moon Bay,37.4636,-122.4286,US,13.0,81,1,8.23,22.5721435546875
94,La Palma,33.8464,-118.0467,US,17.22,59,1,3.32,13.34755611419678
95,Elizabeth City,36.2946,-76.2511,US,11.0,76,20,8.23,0.8459418416023254
96,Garden City,42.3256,-83.331,US,8.89,31,1,2.57,193.8581085205078
97,Bay City,43.5945,-83.8889,US,11.11,32,1,4.12,180.7725372314453
98,Stephenville,32.2207,-98.2023,US,16.0,55,1,4.12,388.6941528320312
99,Poquoson,37.1224,-76.3458,US,9.44,100,1,4.12,1.636818885803223
100,Yarmouth,41.7057,-70.2286,US,4.44,87,3,1.54,8.492347717285156
101,Ironton,38.5368,-82.6829,US,11.11,62,1,2.42,167.7223815917969
102,Astoria,46.1879,-123.8313,US,7.0,87,90,7.2,7.124508380889893
103,Greenwood,34.1668,-82.1165,US,13.0,58,1,3.6,185.6597442626953
104,Philadelphia,39.9523,-75.1638,US,11.11,43,1,1.54,15.02526473999023
105,Juneau,58.3019,-134.4197,US,1.0,86,90,1.25,10.24533367156982
106,Rock Springs,41.5875,-109.2029,US,-2.22,86,90,4.63,1947.046142578125
107,Del Rio,29.3627,-100.8968,US,25.0,36,1,5.14,294.0979309082031
108,Decatur,39.8403,-88.9548,US,11.67,43,1,3.09,206.1212463378906
109,Ukiah,39.1502,-123.2078,US,13.0,50,1,4.63,191.4062042236328
110,Glendive,47.1053,-104.7125,US,3.33,41,1,3.6,631.6582641601562
111,Presque Isle,46.6811,-68.0159,US,8.0,36,1,3.09,139.7214202880859
112,Crossville,35.949,-85.0269,US,11.0,62,1,1.16,565.3434448242188
113,Indiana,40.0003,-86.2503,US,13.0,40,1,3.09,271.5367736816406
114,Brookhaven,31.5791,-90.4407,US,11.11,74,8,1.98,150.5344543457031
115,Graham,47.0529,-122.2943,US,6.67,93,90,2.06,184.6703796386719
116,Arcata,40.8665,-124.0828,US,9.44,71,75,4.63,9.299402236938477
117,Virden,39.5009,-89.7679,US,11.67,64,79,2.24,206.6029510498047
118,New Bern,35.1085,-77.0441,US,12.22,71,90,6.69,3.028501987457275
119,Pecos,31.4229,-103.4932,US,20.0,28,1,4.12,787.4790649414062
120,Homer,59.6425,-151.5483,US,-1.0,47,1,2.57,29.21253967285156
121,Sherman,33.6357,-96.6089,US,16.0,55,1,5.14,224.1550598144531
122,Callaway,30.153000000000002,-85.5699,US,15.56,73,46,0.89,9.841604232788086
123,San Jose,37.3394,-121.895,US,14.44,54,1,5.14,24.86243057250977
124,Altamont,42.2068,-121.7372,US,6.0,39,40,6.17,1259.859375
125,Evanston,42.0411,-87.6901,US,14.0,30,75,4.12,186.6715393066406
126,Twin Falls,42.3505,-114.6445,US,4.44,52,1,3.09,1381.704223632812
127,Fargo,46.8772,-96.7898,US,5.0,93,1,3.6,275.08642578125
128,Michigan City,41.7075,-86.895,US,12.22,30,1,1.54,189.199462890625
129,Greeneville,36.1632,-82.831,US,13.0,38,1,2.57,464.0805969238281
130,Marana,32.4367,-111.2254,US,22.0,6,1,4.63,606.9345092773438
131,Weiser,44.251000000000005,-116.9693,US,11.0,28,1,1.54,649.8372802734375
132,Winnemucca,40.973,-117.7357,US,7.0,26,1,3.09,1308.064331054688
133,Miles City,46.4083,-105.8406,US,5.0,38,1,2.06,719.0680541992188
134,Estelle,29.8458,-90.1067,US,16.67,82,1,2.06,0.236869141459465
135,Fergus Falls,46.283,-96.0776,US,3.89,93,40,2.57,360.1448974609375
136,Cedar City,37.6775,-113.0619,US,1.0,44,1,4.63,1782.416015625
137,Emporia,38.4039,-96.1817,US,14.0,58,1,4.12,349.8265991210938
138,Centennial,39.5792,-104.8769,US,0.56,93,90,4.63,1777.5087890625
139,Duluth,46.7833,-92.1066,US,12.0,66,90,4.63,213.3435668945312
140,West Point,33.6076,-88.6503,US,14.0,62,75,2.06,70.73334503173828
141,Brigantine,39.4101,-74.3646,US,6.11,81,1,3.09,1.831352353096008
142,Rexburg,43.826,-111.7897,US,2.0,51,1,2.57,1483.421630859375
143,Winslow,35.0242,-110.6974,US,12.0,10,1,6.69,1480.182006835938
144,Rancho Palos Verdes,33.7445,-118.387,US,17.78,53,0,2.68,67.56437683105469
145,Lumberton,34.6182,-79.0086,US,16.0,58,90,3.6,39.41964340209961
146,Sandpoint,48.2766,-116.5533,US,2.78,93,90,3.09,640.5111694335938
147,Marshall,34.3834,-86.3333,US,12.0,71,1,1.54,180
148,Bartlett,35.2045,-89.874,US,13.33,44,1,1.54,84.57933807373047
149,Alexander City,32.944,-85.9539,US,13.0,82,1,3.27,214.4844207763672
150,Mastic Beach,40.7668,-72.8521,US,4.0,87,1,2.56,2.000247240066528
151,Winton,37.3894,-120.6133,US,16.0,41,1,2.57,54.25228881835938
152,Celina,40.5489,-84.5702,US,11.11,46,1,3.76,265.6248779296875
153,Nānākuli,21.3906,-158.1547,US,26.0,44,1,6.17,3
154,Waverly,42.7392,-84.6208,US,12.0,28,1,3.09,262.01806640625
155,Wilmington,34.2257,-77.9447,US,14.44,67,90,7.72,11.09025096893311
156,Washington,47.5001,-120.5015,US,8.0,42,1,6.17,569.046875
157,Palm Beach,26.6503,-80.4498,US,16.11,87,0,2.5,2.586353063583374
158,Tooele,40.5308,-112.2983,US,3.33,75,1,1.19,1539.07763671875
159,Wilmington Island,32.0036,-80.9737,US,16.11,77,90,3.6,6.168148040771484
160,Fort Walton Beach,30.4058,-86.6188,US,17.78,82,1,4.9,2.381240606307983
161,Polson,47.6936,-114.1632,US,1.11,90,100,1.34,891.89794921875
162,Poplar Bluff,36.757,-90.3929,US,12.0,50,1,2.88,110.1864700317383
163,Mastic,40.802,-72.8409,US,4.44,87,1,2.6,9.008981704711914
164,Escanaba,45.7453,-87.0646,US,8.33,56,1,4.12,185.050048828125
165,Northport,33.229,-87.5772,US,16.0,59,75,1.54,68.10415649414062
166,Meadow Lake,34.8014,-106.5436,US,17.0,9,40,5.66,1660.546142578125
167,Guymon,36.6828,-101.4816,US,16.0,48,1,2.06,952.3839721679688
168,Laureles,26.1092,-97.4941,US,19.44,72,1,6.69,7.109761714935303
169,St. Pete Beach,27.7253,-82.7412,US,15.56,1,92,5.52,1.346250772476196
170,Ridgecrest,35.6225,-117.6709,US,17.0,8,1,6.17,699.026123046875
171,New Richmond,45.123000000000005,-92.5366,US,14.0,51,90,5.14,299.2070922851562
172,Vero Beach,27.6386,-80.3973,US,18.0,77,90,3.6,5.098209857940674
173,Moorhead,46.8739,-96.7676,US,5.0,93,1,3.6,275.5209350585938
174,Grand Forks,47.9417,-97.4337,US,6.0,100,75,5.6,280.4299926757812
175,Corrales,35.2378,-106.6067,US,16.67,11,1,6.17,1528.860473632812
176,Salinas,36.6777,-121.6555,US,13.0,62,1,5.14,16.10567474365234
177,Jasper,37.2001,-94.3502,US,16.0,44,1,2.57,288.3605346679688
178,Glenwood Springs,39.5505,-107.3248,US,0.56,93,90,2.06,1756.585693359375
179,Pierre,44.3683,-100.351,US,9.44,34,40,4.4,450.710693359375
180,Bowling Green,36.9903,-86.4436,US,13.0,50,1,2.47,159.8104858398438
181,Klamath Falls,42.2249,-121.7817,US,6.0,39,40,6.17,1251.890258789062
182,Carson City,39.1638,-119.7674,US,8.0,21,1,2.57,1425.824829101562
183,Hailey,43.5196,-114.3153,US,2.0,60,1,1.79,1622.645751953125
184,Tallahassee,30.4383,-84.2807,US,16.0,72,75,4.63,62.38511657714844
185,North Platte,41.1239,-100.7654,US,9.0,49,40,2.57,854.0187377929688
186,Oneida,43.2001,-75.4663,US,5.56,52,1,2.06,135.0035247802734
187,Indianola,41.3581,-93.5574,US,16.0,44,90,5.66,296.0413513183594
188,Amarillo,35.222,-101.8313,US,16.67,55,45,3.13,1118.594848632812
189,Cadillac,44.2519,-85.4012,US,12.0,24,1,3.6,398.6378479003906
190,North Myrtle Beach,33.816,-78.68,US,15.0,76,97,0.45,2.063777208328247
191,Ocean City,39.2776,-74.5746,US,6.67,81,1,3.09,2.126079559326172
192,Dickson,36.077,-87.3878,US,13.0,50,40,2.66,247.8628540039062
193,Virginia Beach,36.8529,-75.97800000000001,US,10.0,76,75,6.17,3.695597648620605
194,Great Falls,47.5002,-111.3008,US,5.0,41,90,6.69,1015.398681640625
195,Cheyenne,41.14,-104.8203,US,-1.0,74,90,1.81,1856.006103515625
196,Porterville,36.0652,-119.0168,US,15.0,55,1,2.06,138.8774566650391
197,Morgan City,29.6994,-91.2068,US,15.0,82,75,2.57,1.779149413108826
198,Bar Harbor,44.3876,-68.2039,US,5.56,70,1,3.09,16.05497550964355
199,Safford,32.834,-109.7076,US,21.0,7,1,8.23,888.8506469726562
200,Union,40.6334,-74.2663,US,9.0,70,1,0.99,16.88294982910156
201,Elko,41.0002,-115.5012,US,2.22,59,0,0.32,1677.55078125
202,Roswell,34.0232,-84.3616,US,12.0,66,40,4.36,329.8656311035156
203,Red Bank,40.3471,-74.0643,US,6.11,81,1,2.58,12.37752723693848
204,Superior,46.7208,-92.1041,US,12.22,71,90,4.63,195.2367401123047
205,Morro Bay,35.3658,-120.8499,US,12.22,86,0,4.42,17.1148567199707
206,Portales,34.1862,-103.3344,US,15.0,26,1,4.63,1222.1572265625
207,Rapid Valley,44.0625,-103.1463,US,5.56,48,40,6.17,962.6669921875
208,Minot,48.2325,-101.2963,US,3.0,35,1,5.14,491.1764526367188
209,Springdale,36.1867,-94.1288,US,16.0,41,75,3.09,400.6072692871094
210,Russellville,35.2784,-93.1338,US,14.0,41,64,3.09,103.8663558959961
211,Harrison,30.4091,-89.0436,US,15.0,76,1,1.12,6.959571838378906
212,Berea,41.3662,-81.8543,US,7.22,39,1,1.54,232.0488586425781
213,Boulder City,35.9786,-114.8325,US,16.0,11,1,8.23,766.033203125
214,Oildale,35.4197,-119.0195,US,16.0,33,1,4.12,143.0668029785156
215,Goldsboro,35.3849,-77.9928,US,13.0,54,75,4.63,32.65674209594727
216,East Wenatchee Bench,47.4257,-120.2812,US,8.0,42,1,6.17,279.5911254882812
217,Bismarck,46.8083,-100.7837,US,9.0,29,1,7.2,516.5693969726562
218,Arkansas City,37.062,-97.0384,US,17.0,58,1,2.57,341.6313781738281
219,Henderson,36.0397,-114.9819,US,16.11,11,1,8.23,569.0294189453125
220,Griffith,41.5284,-87.4237,US,12.0,43,1,1.54,193.1468200683594
221,Santa Barbara,34.7333,-120.0343,US,13.33,58,1,4.63,626.7736206054688
222,Camp Verde,34.5636,-111.8543,US,13.89,18,0,2.9,958.7822875976562
223,Alamosa,37.4695,-105.87,US,4.0,41,1,2.06,2298.78369140625
224,Benton Harbor,42.1167,-86.4542,US,12.0,30,1,3.09,181.26611328125
225,Maryville,35.7565,-83.9705,US,14.0,51,1,1.13,283.4649963378906
226,Freeport,40.6576,-73.5832,US,6.67,81,1,2.46,6.034509658813477
227,Bullhead City,35.1478,-114.5683,US,20.0,45,1,7.72,169.1157836914062
228,Kalispell,48.1958,-114.3129,US,4.0,48,90,3.6,900.8248291015625
229,Ascension,30.2169,-90.9001,US,15.0,67,1,1.54,2.097360372543335
230,Sylvania,41.7189,-83.713,US,11.0,30,1,3.09,202.5078125
231,Elk Plain,47.0532,-122.3976,US,6.11,87,90,2.06,129.6614074707031
232,Auburndale,28.0653,-81.7887,US,15.56,88,90,3.09,51.12839889526367
233,Le Mars,42.7942,-96.1656,US,11.11,66,20,3.09,374.6166687011719
234,Bend,44.0582,-121.3153,US,4.0,56,1,4.69,1105.015502929688
235,Madison,34.7334,-86.5667,US,11.67,81,1,1.84,237.4081420898438
236,Missoula,47.0166,-113.8009,US,4.0,56,90,6.17,1697.278442382812
237,Yankton,42.8711,-97.3973,US,8.0,61,1,1.54,368.876220703125
238,Nacogdoches,31.6002,-94.6335,US,15.0,63,1,3.6,113.7810821533203
239,Immokalee,26.4187,-81.4173,US,17.78,72,90,2.06,10.52425861358643
240,Ruidoso,33.3317,-105.67299999999999,US,11.11,20,75,4.63,2052.071533203125
241,Waupun,43.6333,-88.7296,US,10.0,46,1,4.63,272.744384765625
242,Andrews,32.3187,-102.5457,US,17.0,42,1,6.69,967.9608154296875
243,Morehead,37.2711,-87.1764,US,10.0,71,1,2.41,161.9720153808594
244,Anchorage,61.2181,-149.9003,US,-3.89,39,1,0.35,32.95118713378906
245,Cedar Lake,41.3648,-87.4411,US,11.11,43,1,1.54,216.5208129882812
246,Price,39.5994,-110.8107,US,-1.0,51,1,4.63,1695.071899414062
247,Redmond,47.674,-122.1215,US,6.11,92,100,4.65,13.48882102966309
248,Pleasanton,37.6624,-121.8747,US,11.0,66,1,1.54,106.8586502075195
249,Pacifica,37.6138,-122.4869,US,11.11,71,20,10.29,24.58892440795898
250,Prien,30.1819,-93.2738,US,15.0,88,1,1.54,3.95499587059021
251,Columbia,34.0007,-81.0348,US,16.0,55,90,3.09,90.22415924072266
252,Bluefield,37.2698,-81.2223,US,8.0,25,1,2.57,784.072021484375
253,Port Hueneme,34.1478,-119.1951,US,17.22,41,1,2.06,2.32522177696228
254,Clovis,36.8252,-119.7029,US,16.0,39,20,1.54,109.500602722168
255,Kingman,35.1894,-114.053,US,11.0,24,1,7.2,1022.149108886719
256,Onalaska,43.8844,-91.2351,US,15.0,41,90,5.66,217.4949493408203
257,Palo Alto,37.4419,-122.14299999999999,US,12.0,62,1,5.14,8.877954483032227
258,Meridian,43.6121,-116.3915,US,8.0,42,75,1.54,793.7440185546875
259,Key West,24.5557,-81.7826,US,20.0,68,75,5.66,0.5766550302505493
260,Leavenworth,39.2333,-95.0336,US,13.89,75,100,3.95,312.1545715332031
261,Casper,42.8666,-106.3131,US,-2.22,86,1,1.94,1555.833740234375
262,Loveland,40.3978,-105.075,US,1.11,86,90,2.57,1519.140502929688
263,Worland,44.0169,-107.9554,US,0.0,74,1,3.6,1238.247314453125
264,Beaverton,45.4871,-122.8037,US,7.78,81,90,2.57,59.3624267578125
265,Chillicothe,39.3331,-82.9824,US,8.33,81,1,2.68,193.2584228515625
266,Middle Island,40.8843,-72.9373,US,4.44,80,1,1.79,25.61338043212891
267,Fort Smith,35.3859,-94.3986,US,16.0,51,1,1.54,130.6822357177734
268,Drexel Heights,32.1412,-111.0284,US,19.0,10,1,5.66,769.4995727539062
269,Snyder,32.7179,-100.9176,US,19.0,45,1,6.69,709.9986572265625
270,Kernersville,36.1199,-80.0736,US,11.0,40,1,4.63,307.6903076171875
271,Fredericksburg,38.3032,-77.4605,US,5.56,65,1,0.75,18.95902633666992
272,Bellevue,47.6104,-122.2007,US,7.0,76,90,4.12,26.25670051574707
273,Hutchinson,38.0608,-97.9298,US,13.89,62,1,4.12,468.47802734375
274,Galveston,29.3669,-94.9669,US,18.33,72,1,5.14,3.851892471313477
275,Morristown,36.214,-83.2949,US,12.0,50,1,2.98,397.9879455566406
276,Seminole,28.7086,-81.2081,US,15.0,100,90,3.6,1
277,Jackson,42.4165,-122.8345,US,11.0,50,90,4.63,407.6014709472656
278,Morris,40.8334,-74.5329,US,5.0,86,1,0.44,286.961669921875
279,South Lake Tahoe,38.9332,-119.9844,US,3.89,55,1,1.56,1900.4052734375
280,Warwick,41.7001,-71.4162,US,5.0,93,1,1.57,5.278089046478271
281,Bloomingdale,27.8936,-82.2404,US,15.0,88,90,2.57,16.07923698425293
282,Alpena,45.0617,-83.4327,US,8.0,39,1,5.14,179.1073760986328
