City,Lat,Lng,Country,Temp,Humidity,Cloudiness,Wind,Altitude (m),state_id,state_name,timezone
Palmer,42.1584,-72.3287,US,10.0,32,20,2.57,105.5235977,MA,Massachusetts,EST
Laramie,41.3114,-105.5911,US,-1.0,80,90,2.57,2184.666504,WY,Wyoming,MST
Jamestown,42.097,-79.2353,US,12.0,16,1,3.04,419.865387,NY,New York,EST
Willmar,45.1219,-95.0433,US,8.0,76,1,5.14,349.5888367,MN,Minnesota,CST
Mitchell,43.7094,-98.0298,US,9.0,57,1,3.6,399.9039307,SD,South Dakota,CST
Kapaa,22.0752,-159.319,US,24.0,64,1,8.75,5.699976921,HI,Hawaii,HST
Bethel,41.3712,-73.414,US,8.0,42,1,0.88,115.94309229999999,AK,Alaska,AKST
Albany,42.6001,-73.9662,US,7.78,31,0,0.94,222.84622190000002,NY,New York,EST
La Crosse,43.8014,-91.2396,US,16.0,39,1,5.66,203.6095123,WI,Wisconsin,CST
Hilo,19.7297,-155.09,US,25.0,61,90,7.2,19.0451889,HI,Hawaii,HST
Coos Bay,43.3665,-124.2179,US,9.0,66,90,4.63,4.138150215,OR,Oregon,PST
Pacific Grove,36.6177,-121.9166,US,12.22,83,0,2.68,47.42416382,CA,California,PST
Golden,39.7555,-105.2211,US,1.11,91,100,1.34,1729.30542,CO,Colorado,MST
Avera,33.194,-82.5271,US,15.0,63,90,2.57,137.92012019999999,GA,Georgia,EST
Sitka,57.0531,-135.33,US,5.0,87,90,6.69,8.463555336,AK,Alaska,AKST
Laguna,38.421,-121.4238,US,19.44,19,1,4.12,9.368178367999999,NM,New Mexico,MST
Payson,40.0444,-111.7321,US,3.0,60,75,7.2,1420.059937,UT,Utah,MST
Kenai,60.5544,-151.2583,US,-2.0,33,1,3.09,26.11971092,AK,Alaska,AKST
Nome,64.5011,-165.4064,US,-7.78,73,90,2.06,11.17263508,AK,Alaska,AKST
Stillwater,36.1156,-97.0584,US,18.0,39,1,7.72,273.3927307,OK,Oklahoma,CST
Mayo,38.8876,-76.5119,US,9.44,49,1,2.06,3.946774006,MD,Maryland,EST
Kahului,20.8947,-156.47,US,26.0,53,40,13.38,2.071890354,HI,Hawaii,HST
Elmira,42.0898,-76.8077,US,4.0,48,1,1.46,261.7170715,NY,New York,EST
Fortuna,40.5982,-124.1573,US,10.0,71,40,6.17,21.6709671,CA,California,PST
Rome,43.2128,-75.4557,US,3.33,52,1,2.41,137.25788880000002,GA,Georgia,EST
Ozark,37.0209,-93.206,US,15.0,29,40,5.14,356.566803,MO,Missouri,CST
Hamilton,39.1834,-84.5333,US,13.0,50,1,2.33,207.2953644,OH,Ohio,EST
Amberley,39.2048,-84.428,US,12.22,50,1,2.6,244.9996796,OH,Ohio,EST
Russell,32.3502,-85.1999,US,17.0,55,90,2.94,148.7675781,KS,Kansas,CST
Altoona,40.5187,-78.3947,US,6.0,39,1,2.57,354.55221560000007,PA,Pennsylvania,EST
Madera,37.1666,-119.8343,US,18.0,36,1,2.57,241.432785,CA,California,PST
Clarksburg,39.2807,-80.3445,US,14.0,17,1,3.6,303.1678162,WV,West Virginia,EST
Lexington,37.9887,-84.4777,US,12.0,54,1,2.57,298.1593628,KY,Kentucky,EST
Ketchikan,55.3422,-131.6461,US,4.0,100,90,5.14,6.075561522999999,AK,Alaska,AKST
Eureka,40.8021,-124.1637,US,10.56,63,100,4.02,14.11656094,CA,California,PST
Portland,45.5234,-122.6762,US,8.0,76,90,4.12,9.992050171,OR,Oregon,PST
Fairbanks,64.8378,-147.7164,US,-5.0,33,1,0.51,135.61964419999998,AK,Alaska,AKST
College,64.8569,-147.8028,US,-5.0,33,1,0.44,133.3073273,AK,Alaska,AKST
Lincoln,40.8,-96.667,US,16.0,48,90,3.6,366.3533936,NE,Nebraska,CST
Bourbonnais,41.1417,-87.875,US,10.56,57,1,2.06,197.0927887,IL,Illinois,CST
Virginia,37.5481,-77.4467,US,10.0,40,1,3.6,53.85951996,MN,Minnesota,CST
Lompoc,34.6391,-120.4579,US,13.0,67,1,7.2,31.59502602,CA,California,PST
Bellefontaine,40.3612,-83.7597,US,11.11,64,6,0.89,378.92099,OH,Ohio,EST
New Iberia,30.0035,-91.8187,US,17.0,63,40,1.54,5.348089218,LA,Louisiana,CST
Bud,39.446999999999996,-86.1758,US,10.0,44,96,3.34,253.1269531,WV,West Virginia,EST
North Bend,43.4065,-124.2243,US,9.0,66,90,4.63,13.17039871,OR,Oregon,PST
Lahaina,20.8783,-156.6825,US,26.0,53,40,13.38,0.689998984,HI,Hawaii,HST
Catalina Foothills,32.2979,-110.9187,US,22.22,10,6,3.58,785.0540161,AZ,Arizona,MST
Westport,41.1415,-73.3579,US,7.78,75,1,1.54,4.839327812,NC,North Carolina,EST
San Patricio,28.017,-97.5169,US,19.0,63,75,7.72,15.67586613,TX,Texas,CST
Austin,30.2672,-97.7431,US,21.0,37,1,4.63,149.1038666,TX,Texas,CST
Abilene,32.4487,-99.7331,US,21.0,40,1,5.66,521.3797607,TX,Texas,CST
Jerome,42.7241,-114.5186,US,7.0,36,1,5.66,1147.367554,ID,Idaho,MST
Houma,29.5958,-90.7195,US,14.44,82,1,2.06,2.7179842,LA,Louisiana,CST
Socorro,31.6546,-106.3033,US,23.0,17,75,8.23,1115.717896,TX,Texas,MST
Forestville,38.8451,-76.875,US,11.11,46,1,2.06,84.92774963,MD,Maryland,EST
Rincon,32.296,-81.2354,US,13.0,88,75,2.57,21.94049835,GA,Georgia,EST
Valdosta,30.8327,-83.2785,US,14.44,82,20,5.66,68.72459412,GA,Georgia,EST
Wahpeton,46.2652,-96.6059,US,4.0,93,40,3.09,293.8888245,ND,North Dakota,CST
Wasilla,61.5814,-149.4394,US,-2.0,31,1,1.54,101.2412796,AK,Alaska,AKST
Green River,41.5286,-109.4662,US,-2.22,86,90,4.63,1861.5991210000002,WY,Wyoming,MST
Burley,42.5357,-113.7928,US,4.0,45,1,3.09,1268.080688,ID,Idaho,MST
Monticello,45.3055,-93.7941,US,13.33,62,90,5.45,282.68695069999995,MN,Minnesota,CST
Marion,39.7684,-86.1555,US,13.0,30,1,1.54,217.63769530000002,OH,Ohio,EST
El Reno,35.5323,-97.955,US,15.56,62,1,5.66,413.009613,OK,Oklahoma,CST
Flagstaff,35.1981,-111.6513,US,6.67,24,20,5.14,2104.366943,AZ,Arizona,MST
Hope,33.6671,-93.5916,US,12.78,57,12,3.14,108.816124,AR,Arkansas,CST
Pendleton,45.6721,-118.7886,US,7.22,53,90,7.72,325.8826294,OR,Oregon,PST
Havelock,34.8791,-76.9013,US,12.22,81,100,3.58,7.346436977000001,NC,North Carolina,EST
Springfield,37.2153,-93.2982,US,14.0,28,1,7.2,397.1144409,MA,Massachusetts,EST
Los Lunas,34.8062,-106.7334,US,17.0,9,40,5.66,1479.481079,NM,New Mexico,MST
Murray,40.6669,-111.88799999999999,US,3.0,86,1,1.82,1311.7890630000002,UT,Utah,MST
Southbridge,42.0751,-72.0334,US,6.67,45,0,1.81,149.418869,MA,Massachusetts,EST
Martin,27.0837,-80.4164,US,18.89,67,1,2.06,8.589580536,TN,Tennessee,CST
Lamar,33.6668,-95.5836,US,15.0,62,1,4.12,173.9572754,CO,Colorado,MST
Brandon,27.9378,-82.2859,US,15.0,82,90,2.06,14.62283802,FL,Florida,EST
San Francisco,37.7749,-122.4194,US,14.44,66,20,10.8,15.56675434,CA,California,PST
Lebanon,36.2081,-86.2911,US,12.0,71,1,1.95,160.71534730000002,PA,Pennsylvania,EST
Harrisonburg,38.4496,-78.8689,US,6.11,56,1,0.72,404.8709717,VA,Virginia,EST
Brownsville,25.9018,-97.4975,US,20.0,72,1,3.6,10.6421175,TX,Texas,CST
Eloy,32.7559,-111.5548,US,20.56,9,1,3.09,473.29776,AZ,Arizona,MST
San Ramon,37.7799,-121.978,US,16.67,47,1,4.12,150.006134,CA,California,PST
Sterling,39.0062,-77.4286,US,8.89,49,1,1.86,89.60427094,VA,Virginia,EST
Scottsbluff,41.8666,-103.6672,US,5.0,60,1,1.54,1185.1030269999999,NE,Nebraska,MST
Half Moon Bay,37.4636,-122.4286,US,13.0,81,1,8.23,22.57214355,CA,California,PST
La Palma,33.8464,-118.0467,US,17.22,59,1,3.32,13.34755611,CA,California,PST
Elizabeth City,36.2946,-76.2511,US,11.0,76,20,8.23,0.845941842,NC,North Carolina,EST
Garden City,42.3256,-83.331,US,8.89,31,1,2.57,193.8581085,KS,Kansas,CST
Bay City,43.5945,-83.8889,US,11.11,32,1,4.12,180.7725372,MI,Michigan,EST
Stephenville,32.2207,-98.2023,US,16.0,55,1,4.12,388.6941528,TX,Texas,CST
Poquoson,37.1224,-76.3458,US,9.44,100,1,4.12,1.636818886,VA,Virginia,EST
Ironton,38.5368,-82.6829,US,11.11,62,1,2.42,167.72238159999998,OH,Ohio,EST
Astoria,46.1879,-123.8313,US,7.0,87,90,7.2,7.124508381,OR,Oregon,PST
Greenwood,34.1668,-82.1165,US,13.0,58,1,3.6,185.65974430000003,IN,Indiana,EST
Philadelphia,39.9523,-75.1638,US,11.11,43,1,1.54,15.02526474,PA,Pennsylvania,EST
Juneau,58.3019,-134.4197,US,1.0,86,90,1.25,10.24533367,AK,Alaska,AKST
Rock Springs,41.5875,-109.2029,US,-2.22,86,90,4.63,1947.046143,WY,Wyoming,MST
Del Rio,29.3627,-100.8968,US,25.0,36,1,5.14,294.0979309,TX,Texas,CST
Decatur,39.8403,-88.9548,US,11.67,43,1,3.09,206.12124630000002,IL,Illinois,CST
Ukiah,39.1502,-123.2078,US,13.0,50,1,4.63,191.4062042,CA,California,PST
Glendive,47.1053,-104.7125,US,3.33,41,1,3.6,631.6582642000001,MT,Montana,MST
Presque Isle,46.6811,-68.0159,US,8.0,36,1,3.09,139.72142030000003,ME,Maine,EST
Crossville,35.949,-85.0269,US,11.0,62,1,1.16,565.3434447999999,TN,Tennessee,CST
Indiana,40.0003,-86.2503,US,13.0,40,1,3.09,271.53677369999997,PA,Pennsylvania,EST
Brookhaven,31.5791,-90.4407,US,11.11,74,8,1.98,150.5344543,GA,Georgia,EST
Graham,47.0529,-122.2943,US,6.67,93,90,2.06,184.6703796,WA,Washington,PST
Arcata,40.8665,-124.0828,US,9.44,71,75,4.63,9.299402237,CA,California,PST
Virden,39.5009,-89.7679,US,11.67,64,79,2.24,206.602951,IL,Illinois,CST
New Bern,35.1085,-77.0441,US,12.22,71,90,6.69,3.028501987,NC,North Carolina,EST
Pecos,31.4229,-103.4932,US,20.0,28,1,4.12,787.4790649,TX,Texas,CST
Homer,59.6425,-151.5483,US,-1.0,47,1,2.57,29.21253967,AK,Alaska,AKST
Sherman,33.6357,-96.6089,US,16.0,55,1,5.14,224.15505980000003,TX,Texas,CST
Callaway,30.153000000000002,-85.5699,US,15.56,73,46,0.89,9.841604233,FL,Florida,CST
San Jose,37.3394,-121.895,US,14.44,54,1,5.14,24.86243057,CA,California,PST
Altamont,42.2068,-121.7372,US,6.0,39,40,6.17,1259.859375,OR,Oregon,PST
Evanston,42.0411,-87.6901,US,14.0,30,75,4.12,186.6715393,IL,Illinois,CST
Twin Falls,42.3505,-114.6445,US,4.44,52,1,3.09,1381.704224,ID,Idaho,MST
Fargo,46.8772,-96.7898,US,5.0,93,1,3.6,275.0864258,ND,North Dakota,CST
Michigan City,41.7075,-86.895,US,12.22,30,1,1.54,189.1994629,IN,Indiana,CST
Greeneville,36.1632,-82.831,US,13.0,38,1,2.57,464.08059689999993,TN,Tennessee,EST
Marana,32.4367,-111.2254,US,22.0,6,1,4.63,606.9345093,AZ,Arizona,MST
Weiser,44.251000000000005,-116.9693,US,11.0,28,1,1.54,649.8372803,ID,Idaho,MST
Winnemucca,40.973,-117.7357,US,7.0,26,1,3.09,1308.064331,NV,Nevada,PST
Miles City,46.4083,-105.8406,US,5.0,38,1,2.06,719.0680542,MT,Montana,MST
Estelle,29.8458,-90.1067,US,16.67,82,1,2.06,0.236869141,LA,Louisiana,CST
Fergus Falls,46.283,-96.0776,US,3.89,93,40,2.57,360.1448975,MN,Minnesota,CST
Cedar City,37.6775,-113.0619,US,1.0,44,1,4.63,1782.4160160000001,UT,Utah,MST
Emporia,38.4039,-96.1817,US,14.0,58,1,4.12,349.82659910000007,KS,Kansas,CST
Centennial,39.5792,-104.8769,US,0.56,93,90,4.63,1777.508789,CO,Colorado,MST
Duluth,46.7833,-92.1066,US,12.0,66,90,4.63,213.3435669,MN,Minnesota,CST
West Point,33.6076,-88.6503,US,14.0,62,75,2.06,70.73334503,UT,Utah,MST
Brigantine,39.4101,-74.3646,US,6.11,81,1,3.09,1.8313523530000002,NJ,New Jersey,EST
Rexburg,43.826,-111.7897,US,2.0,51,1,2.57,1483.4216310000002,ID,Idaho,MST
Winslow,35.0242,-110.6974,US,12.0,10,1,6.69,1480.182007,AZ,Arizona,MST
Rancho Palos Verdes,33.7445,-118.387,US,17.78,53,0,2.68,67.56437683,CA,California,PST
Lumberton,34.6182,-79.0086,US,16.0,58,90,3.6,39.4196434,NC,North Carolina,EST
Sandpoint,48.2766,-116.5533,US,2.78,93,90,3.09,640.5111694,ID,Idaho,PST
Marshall,34.3834,-86.3333,US,12.0,71,1,1.54,180.0,TX,Texas,CST
Bartlett,35.2045,-89.874,US,13.33,44,1,1.54,84.57933807,TN,Tennessee,CST
Alexander City,32.944,-85.9539,US,13.0,82,1,3.27,214.4844208,AL,Alabama,CST
Mastic Beach,40.7668,-72.8521,US,4.0,87,1,2.56,2.00024724,NY,New York,EST
Winton,37.3894,-120.6133,US,16.0,41,1,2.57,54.25228882,CA,California,PST
Celina,40.5489,-84.5702,US,11.11,46,1,3.76,265.6248779,TX,Texas,CST
Waverly,42.7392,-84.6208,US,12.0,28,1,3.09,262.0180664,MI,Michigan,EST
Wilmington,34.2257,-77.9447,US,14.44,67,90,7.72,11.09025097,NC,North Carolina,EST
Washington,47.5001,-120.5015,US,8.0,42,1,6.17,569.046875,DC,District of Columbia,EST
Palm Beach,26.6503,-80.4498,US,16.11,87,0,2.5,2.586353064,FL,Florida,EST
Tooele,40.5308,-112.2983,US,3.33,75,1,1.19,1539.0776369999999,UT,Utah,MST
Wilmington Island,32.0036,-80.9737,US,16.11,77,90,3.6,6.168148041,GA,Georgia,EST
Fort Walton Beach,30.4058,-86.6188,US,17.78,82,1,4.9,2.381240606,FL,Florida,CST
Polson,47.6936,-114.1632,US,1.11,90,100,1.34,891.8979492000001,MT,Montana,MST
Poplar Bluff,36.757,-90.3929,US,12.0,50,1,2.88,110.18647,MO,Missouri,CST
Mastic,40.802,-72.8409,US,4.44,87,1,2.6,9.008981705,NY,New York,EST
Escanaba,45.7453,-87.0646,US,8.33,56,1,4.12,185.0500488,MI,Michigan,EST
Northport,33.229,-87.5772,US,16.0,59,75,1.54,68.10415649,AL,Alabama,CST
Meadow Lake,34.8014,-106.5436,US,17.0,9,40,5.66,1660.546143,NM,New Mexico,MST
Guymon,36.6828,-101.4816,US,16.0,48,1,2.06,952.3839722000001,OK,Oklahoma,CST
Laureles,26.1092,-97.4941,US,19.44,72,1,6.69,7.109761715,TX,Texas,CST
St. Pete Beach,27.7253,-82.7412,US,15.56,1,92,5.52,1.3462507719999999,FL,Florida,EST
Ridgecrest,35.6225,-117.6709,US,17.0,8,1,6.17,699.0261230000001,CA,California,PST
New Richmond,45.123000000000005,-92.5366,US,14.0,51,90,5.14,299.2070923,WI,Wisconsin,CST
Vero Beach,27.6386,-80.3973,US,18.0,77,90,3.6,5.098209858,FL,Florida,EST
Moorhead,46.8739,-96.7676,US,5.0,93,1,3.6,275.52093510000003,MN,Minnesota,CST
Grand Forks,47.9417,-97.4337,US,6.0,100,75,5.6,280.42999269999996,ND,North Dakota,CST
Corrales,35.2378,-106.6067,US,16.67,11,1,6.17,1528.860474,NM,New Mexico,MST
Salinas,36.6777,-121.6555,US,13.0,62,1,5.14,16.10567474,CA,California,PST
Jasper,37.2001,-94.3502,US,16.0,44,1,2.57,288.3605347,IN,Indiana,EST
Glenwood Springs,39.5505,-107.3248,US,0.56,93,90,2.06,1756.585693,CO,Colorado,MST
Pierre,44.3683,-100.351,US,9.44,34,40,4.4,450.71069339999997,SD,South Dakota,CST
Bowling Green,36.9903,-86.4436,US,13.0,50,1,2.47,159.8104858,KY,Kentucky,CST
Klamath Falls,42.2249,-121.7817,US,6.0,39,40,6.17,1251.890259,OR,Oregon,PST
Carson City,39.1638,-119.7674,US,8.0,21,1,2.57,1425.824829,NV,Nevada,PST
Hailey,43.5196,-114.3153,US,2.0,60,1,1.79,1622.645752,ID,Idaho,MST
Tallahassee,30.4383,-84.2807,US,16.0,72,75,4.63,62.38511658,FL,Florida,EST
North Platte,41.1239,-100.7654,US,9.0,49,40,2.57,854.0187377999998,NE,Nebraska,CST
Oneida,43.2001,-75.4663,US,5.56,52,1,2.06,135.0035248,NY,New York,EST
Indianola,41.3581,-93.5574,US,16.0,44,90,5.66,296.04135130000003,IA,Iowa,CST
Amarillo,35.222,-101.8313,US,16.67,55,45,3.13,1118.594849,TX,Texas,CST
Cadillac,44.2519,-85.4012,US,12.0,24,1,3.6,398.6378479,MI,Michigan,EST
North Myrtle Beach,33.816,-78.68,US,15.0,76,97,0.45,2.0637772080000003,SC,South Carolina,EST
Ocean City,39.2776,-74.5746,US,6.67,81,1,3.09,2.126079559,NJ,New Jersey,EST
Dickson,36.077,-87.3878,US,13.0,50,40,2.66,247.862854,TN,Tennessee,CST
Virginia Beach,36.8529,-75.97800000000001,US,10.0,76,75,6.17,3.6955976489999998,VA,Virginia,EST
Great Falls,47.5002,-111.3008,US,5.0,41,90,6.69,1015.398682,MT,Montana,MST
Cheyenne,41.14,-104.8203,US,-1.0,74,90,1.81,1856.0061039999998,WY,Wyoming,MST
Porterville,36.0652,-119.0168,US,15.0,55,1,2.06,138.87745669999998,CA,California,PST
Morgan City,29.6994,-91.2068,US,15.0,82,75,2.57,1.779149413,LA,Louisiana,CST
Safford,32.834,-109.7076,US,21.0,7,1,8.23,888.8506470000001,AZ,Arizona,MST
Union,40.6334,-74.2663,US,9.0,70,1,0.99,16.88294983,MO,Missouri,CST
Elko,41.0002,-115.5012,US,2.22,59,0,0.32,1677.5507810000001,NV,Nevada,PST
Roswell,34.0232,-84.3616,US,12.0,66,40,4.36,329.86563110000003,GA,Georgia,EST
Red Bank,40.3471,-74.0643,US,6.11,81,1,2.58,12.37752724,NJ,New Jersey,EST
Superior,46.7208,-92.1041,US,12.22,71,90,4.63,195.2367401,WI,Wisconsin,CST
Morro Bay,35.3658,-120.8499,US,12.22,86,0,4.42,17.11485672,CA,California,PST
Portales,34.1862,-103.3344,US,15.0,26,1,4.63,1222.157227,NM,New Mexico,MST
Rapid Valley,44.0625,-103.1463,US,5.56,48,40,6.17,962.6669922,SD,South Dakota,MST
Minot,48.2325,-101.2963,US,3.0,35,1,5.14,491.17645260000006,ND,North Dakota,CST
Springdale,36.1867,-94.1288,US,16.0,41,75,3.09,400.6072693,AR,Arkansas,CST
Russellville,35.2784,-93.1338,US,14.0,41,64,3.09,103.8663559,AR,Arkansas,CST
Harrison,30.4091,-89.0436,US,15.0,76,1,1.12,6.959571838,NY,New York,EST
Berea,41.3662,-81.8543,US,7.22,39,1,1.54,232.04885860000002,OH,Ohio,EST
Boulder City,35.9786,-114.8325,US,16.0,11,1,8.23,766.0332031,NV,Nevada,PST
Oildale,35.4197,-119.0195,US,16.0,33,1,4.12,143.066803,CA,California,PST
Goldsboro,35.3849,-77.9928,US,13.0,54,75,4.63,32.6567421,NC,North Carolina,EST
Bismarck,46.8083,-100.7837,US,9.0,29,1,7.2,516.569397,ND,North Dakota,CST
Arkansas City,37.062,-97.0384,US,17.0,58,1,2.57,341.6313782,KS,Kansas,CST
Henderson,36.0397,-114.9819,US,16.11,11,1,8.23,569.0294188999999,NV,Nevada,PST
Griffith,41.5284,-87.4237,US,12.0,43,1,1.54,193.14682009999999,IN,Indiana,CST
Santa Barbara,34.7333,-120.0343,US,13.33,58,1,4.63,626.7736206000001,CA,California,PST
Camp Verde,34.5636,-111.8543,US,13.89,18,0,2.9,958.7822876,AZ,Arizona,MST
Alamosa,37.4695,-105.87,US,4.0,41,1,2.06,2298.783691,CO,Colorado,MST
Benton Harbor,42.1167,-86.4542,US,12.0,30,1,3.09,181.2661133,MI,Michigan,EST
Maryville,35.7565,-83.9705,US,14.0,51,1,1.13,283.4649963,TN,Tennessee,EST
Freeport,40.6576,-73.5832,US,6.67,81,1,2.46,6.034509658999999,NY,New York,EST
Bullhead City,35.1478,-114.5683,US,20.0,45,1,7.72,169.11578369999998,AZ,Arizona,MST
Kalispell,48.1958,-114.3129,US,4.0,48,90,3.6,900.8248291000001,MT,Montana,MST
Sylvania,41.7189,-83.713,US,11.0,30,1,3.09,202.5078125,OH,Ohio,EST
Elk Plain,47.0532,-122.3976,US,6.11,87,90,2.06,129.6614075,WA,Washington,PST
Auburndale,28.0653,-81.7887,US,15.56,88,90,3.09,51.1283989,FL,Florida,EST
Le Mars,42.7942,-96.1656,US,11.11,66,20,3.09,374.6166687,IA,Iowa,CST
Bend,44.0582,-121.3153,US,4.0,56,1,4.69,1105.0155029999999,OR,Oregon,PST
Madison,34.7334,-86.5667,US,11.67,81,1,1.84,237.40814210000002,WI,Wisconsin,CST
Missoula,47.0166,-113.8009,US,4.0,56,90,6.17,1697.2784420000003,MT,Montana,MST
Yankton,42.8711,-97.3973,US,8.0,61,1,1.54,368.8762207,SD,South Dakota,CST
Nacogdoches,31.6002,-94.6335,US,15.0,63,1,3.6,113.78108219999999,TX,Texas,CST
Immokalee,26.4187,-81.4173,US,17.78,72,90,2.06,10.52425861,FL,Florida,EST
Ruidoso,33.3317,-105.67299999999999,US,11.11,20,75,4.63,2052.071533,NM,New Mexico,MST
Waupun,43.6333,-88.7296,US,10.0,46,1,4.63,272.74438480000003,WI,Wisconsin,CST
Andrews,32.3187,-102.5457,US,17.0,42,1,6.69,967.9608153999999,TX,Texas,CST
Morehead,37.2711,-87.1764,US,10.0,71,1,2.41,161.9720154,KY,Kentucky,EST
Anchorage,61.2181,-149.9003,US,-3.89,39,1,0.35,32.95118713,AK,Alaska,AKST
Cedar Lake,41.3648,-87.4411,US,11.11,43,1,1.54,216.52081299999998,IN,Indiana,CST
Price,39.5994,-110.8107,US,-1.0,51,1,4.63,1695.0718989999998,UT,Utah,MST
Redmond,47.674,-122.1215,US,6.11,92,100,4.65,13.48882103,WA,Washington,PST
Pleasanton,37.6624,-121.8747,US,11.0,66,1,1.54,106.85865020000001,CA,California,PST
Pacifica,37.6138,-122.4869,US,11.11,71,20,10.29,24.58892441,CA,California,PST
Prien,30.1819,-93.2738,US,15.0,88,1,1.54,3.9549958710000004,LA,Louisiana,CST
Columbia,34.0007,-81.0348,US,16.0,55,90,3.09,90.22415924,SC,South Carolina,EST
Bluefield,37.2698,-81.2223,US,8.0,25,1,2.57,784.0720215,WV,West Virginia,EST
Port Hueneme,34.1478,-119.1951,US,17.22,41,1,2.06,2.325221777,CA,California,PST
Clovis,36.8252,-119.7029,US,16.0,39,20,1.54,109.5006027,CA,California,PST
Kingman,35.1894,-114.053,US,11.0,24,1,7.2,1022.149109,AZ,Arizona,MST
Onalaska,43.8844,-91.2351,US,15.0,41,90,5.66,217.49494930000003,WI,Wisconsin,CST
Palo Alto,37.4419,-122.14299999999999,US,12.0,62,1,5.14,8.877954483,CA,California,PST
Meridian,43.6121,-116.3915,US,8.0,42,75,1.54,793.7440186000001,ID,Idaho,MST
Key West,24.5557,-81.7826,US,20.0,68,75,5.66,0.57665503,FL,Florida,EST
Leavenworth,39.2333,-95.0336,US,13.89,75,100,3.95,312.1545715,KS,Kansas,CST
Casper,42.8666,-106.3131,US,-2.22,86,1,1.94,1555.83374,WY,Wyoming,MST
Loveland,40.3978,-105.075,US,1.11,86,90,2.57,1519.1405029999999,CO,Colorado,MST
Worland,44.0169,-107.9554,US,0.0,74,1,3.6,1238.247314,WY,Wyoming,MST
Beaverton,45.4871,-122.8037,US,7.78,81,90,2.57,59.36242676,OR,Oregon,PST
Chillicothe,39.3331,-82.9824,US,8.33,81,1,2.68,193.2584229,OH,Ohio,EST
Middle Island,40.8843,-72.9373,US,4.44,80,1,1.79,25.61338043,NY,New York,EST
Fort Smith,35.3859,-94.3986,US,16.0,51,1,1.54,130.6822357,AR,Arkansas,CST
Drexel Heights,32.1412,-111.0284,US,19.0,10,1,5.66,769.4995727999999,AZ,Arizona,MST
Snyder,32.7179,-100.9176,US,19.0,45,1,6.69,709.9986572,TX,Texas,CST
Kernersville,36.1199,-80.0736,US,11.0,40,1,4.63,307.69030760000004,NC,North Carolina,EST
Fredericksburg,38.3032,-77.4605,US,5.56,65,1,0.75,18.95902634,VA,Virginia,EST
Bellevue,47.6104,-122.2007,US,7.0,76,90,4.12,26.25670052,WA,Washington,PST
Hutchinson,38.0608,-97.9298,US,13.89,62,1,4.12,468.4780273,KS,Kansas,CST
Galveston,29.3669,-94.9669,US,18.33,72,1,5.14,3.851892471,TX,Texas,CST
Morristown,36.214,-83.2949,US,12.0,50,1,2.98,397.98794560000005,TN,Tennessee,EST
Seminole,28.7086,-81.2081,US,15.0,100,90,3.6,1.0,FL,Florida,EST
Jackson,42.4165,-122.8345,US,11.0,50,90,4.63,407.6014709,MS,Mississippi,CST
Morris,40.8334,-74.5329,US,5.0,86,1,0.44,286.96166989999995,IL,Illinois,CST
South Lake Tahoe,38.9332,-119.9844,US,3.89,55,1,1.56,1900.405273,CA,California,PST
Warwick,41.7001,-71.4162,US,5.0,93,1,1.57,5.278089046,RI,Rhode Island,EST
Bloomingdale,27.8936,-82.2404,US,15.0,88,90,2.57,16.07923698,FL,Florida,EST
Alpena,45.0617,-83.4327,US,8.0,39,1,5.14,179.10737609999998,MI,Michigan,EST
